date,next_date,tenor,regime,forecast_p10,forecast_p50,forecast_p90,realized,in_band
2010-04-15,2010-04-16,USGG2YR Index,2,0.9980359342291193,1.087064895527185,1.1795565703443855,0.9513,False
2010-04-15,2010-04-16,USGG3YR Index,2,1.5018535912825979,1.5926248137498207,1.6913537712344993,1.5406,True
2010-04-15,2010-04-16,USGG5YR Index,2,2.3616917026481743,2.462187980163541,2.5733047548025265,2.4661,True
2010-04-15,2010-04-16,USGG7YR Index,2,3.053037630698027,3.166055527858341,3.289713553210134,3.1892,True
2010-04-15,2010-04-16,USGG10YR Index,2,3.829794873989463,3.959686348927371,4.0977815710069665,3.7626,False
2010-04-15,2010-04-16,USGG30YR Index,2,4.584954265084236,4.706185352207274,4.824780989326805,4.6705,True
2010-04-16,2010-04-19,USGG2YR Index,2,0.9318625007908228,1.0234800174943928,1.1139754027702784,0.9756,True
2010-04-16,2010-04-19,USGG3YR Index,2,1.427429243727984,1.5259342830526201,1.6193378511018068,1.5779,True
2010-04-16,2010-04-19,USGG5YR Index,2,2.2815152554059646,2.392607040226803,2.493859734013705,2.5167,False
2010-04-16,2010-04-19,USGG7YR Index,2,2.9658301509226455,3.0942610049636423,3.2065525554715233,3.2296,False
2010-04-16,2010-04-19,USGG10YR Index,2,3.7403594129662405,3.8818167335126965,4.009960922795682,3.7974,True
2010-04-16,2010-04-19,USGG30YR Index,2,4.529387524062876,4.661929733826452,4.780098573713278,4.6941,True
2010-04-19,2010-04-20,USGG2YR Index,2,0.9619792029383012,1.0577140190162324,1.149858814582406,1.0081,True
2010-04-19,2010-04-20,USGG3YR Index,2,1.462141850316607,1.5615463226796762,1.6579785312904454,1.61,True
2010-04-19,2010-04-20,USGG5YR Index,2,2.3182402850240864,2.4290732574150757,2.5342296162736946,2.5438,False
2010-04-19,2010-04-20,USGG7YR Index,2,3.0110437888160373,3.130532361829479,3.2459855607506922,3.2447,True
2010-04-19,2010-04-20,USGG10YR Index,2,3.7913086589817637,3.9194105854747825,4.047388396182921,3.7993,True
2010-04-19,2010-04-20,USGG30YR Index,2,4.561327108529549,4.6799029270520105,4.79730049298698,4.6734,True
2010-04-20,2010-04-21,USGG2YR Index,2,1.0025620862815632,1.0951059894538604,1.1829305183305516,0.9918,False
2010-04-20,2010-04-21,USGG3YR Index,2,1.4984697487418701,1.5937741589948382,1.6862451249213366,1.583,True
2010-04-20,2010-04-21,USGG5YR Index,2,2.348182805597657,2.4539907907464844,2.5570936371582915,2.4931,True
2010-04-20,2010-04-21,USGG7YR Index,2,3.027856554789227,3.149902983718908,3.2594333456006566,3.1841,True
2010-04-20,2010-04-21,USGG10YR Index,2,3.7921062466102513,3.932388755219854,4.051783943322561,3.7356,False
2010-04-20,2010-04-21,USGG30YR Index,2,4.540358653906379,4.664216256033921,4.785255592041661,4.6159,True
2010-04-21,2010-04-22,USGG2YR Index,2,0.9802637214635153,1.0762453600313666,1.1703491013584664,1.0244,True
2010-04-21,2010-04-22,USGG3YR Index,2,1.4653962994494818,1.5679526287413883,1.665025462478999,1.6205,True
2010-04-21,2010-04-22,USGG5YR Index,2,2.3017523727402134,2.4085477210245623,2.516199072474511,2.5371,False
2010-04-21,2010-04-22,USGG7YR Index,2,2.972197881312572,3.092575167093794,3.209088276444617,3.2346,False
2010-04-21,2010-04-22,USGG10YR Index,2,3.732203806341941,3.8595919263238248,3.9913741306802253,3.7723,True
2010-04-21,2010-04-22,USGG30YR Index,2,4.495192791779778,4.605837124477802,4.723049803538329,4.6363,True
2010-04-22,2010-04-23,USGG2YR Index,2,1.0173637258123172,1.109630080934029,1.202989537706602,1.0656,True
2010-04-22,2010-04-23,USGG3YR Index,2,1.5044969889515658,1.6018198066654459,1.7008177412637804,1.6633,True
2010-04-22,2010-04-23,USGG5YR Index,2,2.339339026881696,2.4486537428648973,2.5565756322060906,2.5881,False
2010-04-22,2010-04-23,USGG7YR Index,2,3.0104998937225385,3.1318737268218735,3.251913910795529,3.2777,False
2010-04-22,2010-04-23,USGG10YR Index,2,3.762762747182788,3.900368728987095,4.034826377168536,3.8092,True
2010-04-22,2010-04-23,USGG30YR Index,2,4.498260064775626,4.621893849769364,4.741854825450752,4.6597,True
2010-04-23,2010-04-26,USGG2YR Index,2,1.0688358062532082,1.152731937898378,1.2443290724249927,1.0492,False
2010-04-23,2010-04-26,USGG3YR Index,2,1.5534070403437983,1.6466503971899398,1.742106373470952,1.647,True
2010-04-23,2010-04-26,USGG5YR Index,2,2.3908869156230472,2.4937434306554858,2.5980910271401076,2.5643,True
2010-04-23,2010-04-26,USGG7YR Index,2,3.060720612288524,3.175681548699565,3.2976322665617035,3.2573,True
2010-04-23,2010-04-26,USGG10YR Index,2,3.8151925872551984,3.9445006142765635,4.07280604974597,3.8054,False
2010-04-23,2010-04-26,USGG30YR Index,2,4.530286318710926,4.648707855626297,4.776434147454748,4.6646,True
2010-04-26,2010-04-27,USGG2YR Index,2,1.0320337364518237,1.1359406555494953,1.228999946283581,0.9506,False
2010-04-26,2010-04-27,USGG3YR Index,2,1.5216958534696388,1.6288414185818203,1.7245184953384545,1.5281,True
2010-04-26,2010-04-27,USGG5YR Index,2,2.3612531140917925,2.4788545094174186,2.5810700775234188,2.4219,True
2010-04-26,2010-04-27,USGG7YR Index,2,3.0388953304890265,3.1647356294163833,3.27659113772749,3.1158,True
2010-04-26,2010-04-27,USGG10YR Index,2,3.7965688494786356,3.937020939947589,4.06115024580939,3.6877,False
2010-04-26,2010-04-27,USGG30YR Index,2,4.535828245816395,4.655413857389169,4.772375204678194,4.5763,True
2010-04-27,2010-04-28,USGG2YR Index,2,0.9255417631180219,1.0251559910437653,1.117019568259083,1.0237,True
2010-04-27,2010-04-28,USGG3YR Index,2,1.41147307096235,1.5120542486409065,1.6073446221907306,1.5873,True
2010-04-27,2010-04-28,USGG5YR Index,2,2.244121675740448,2.352583961389911,2.4604987548785484,2.4998,False
2010-04-27,2010-04-28,USGG7YR Index,2,2.9162500409632957,3.0327368635164866,3.150126087213688,3.2041,False
2010-04-27,2010-04-28,USGG10YR Index,2,3.6694384152768356,3.801185063964176,3.9281816382584465,3.7628,True
2010-04-27,2010-04-28,USGG30YR Index,2,4.455394460719928,4.571927694392428,4.684571516927406,4.6265,True
2010-04-28,2010-04-29,USGG2YR Index,2,1.0055993479897527,1.0887382696872707,1.175690469565502,1.0,False
2010-04-28,2010-04-29,USGG3YR Index,2,1.4893161751898003,1.5807068608393384,1.671226311007568,1.5385,True
2010-04-28,2010-04-29,USGG5YR Index,2,2.3225112075214907,2.423722448175396,2.5288087477146455,2.4766,True
2010-04-28,2010-04-29,USGG7YR Index,2,2.98954558855676,3.1060583049998574,3.223595526342226,3.156,True
2010-04-28,2010-04-29,USGG10YR Index,2,3.74277712842096,3.875044974169698,4.010206166686053,3.7243,False
2010-04-28,2010-04-29,USGG30YR Index,2,4.489765719055211,4.61337293605478,4.7320886788948515,4.5888,True
2010-04-29,2010-04-30,USGG2YR Index,2,0.9619900570032444,1.0573963195149556,1.1549986220760824,0.9603,False
2010-04-29,2010-04-30,USGG3YR Index,2,1.448534470132439,1.5453348470772652,1.646953936431204,1.4838,True
2010-04-29,2010-04-30,USGG5YR Index,2,2.2838966750013148,2.3886693261445657,2.499947400310052,2.4164,True
2010-04-29,2010-04-30,USGG7YR Index,2,2.952285324442565,3.069730344064742,3.1933500920293114,3.1099,True
2010-04-29,2010-04-30,USGG10YR Index,2,3.703830160313082,3.835716258061919,3.973020782338833,3.6532,False
2010-04-29,2010-04-30,USGG30YR Index,2,4.459033054337578,4.5785588782696784,4.695304019008577,4.5172,True
2010-04-30,2010-05-03,USGG2YR Index,2,0.9194472078281765,1.0150190610590704,1.109273475243363,0.992,True
2010-04-30,2010-05-03,USGG3YR Index,2,1.3996988364146272,1.4998696871912265,1.599108595432553,1.516,True
2010-04-30,2010-05-03,USGG5YR Index,2,2.2252135942855653,2.333218516233406,2.4468277845392596,2.4565,False
2010-04-30,2010-05-03,USGG7YR Index,2,2.890324479473248,3.007461727310469,3.1311377928038935,3.15,False
2010-04-30,2010-05-03,USGG10YR Index,2,3.6371261629621894,3.7657636631929616,3.9038617756675817,3.682,True
2010-04-30,2010-05-03,USGG30YR Index,2,4.388661387741092,4.500810438096888,4.624917560143598,4.5266,True
2010-05-03,2010-05-04,USGG2YR Index,2,0.962566064289024,1.0500963538688497,1.142099464728084,0.9363,False
2010-05-03,2010-05-04,USGG3YR Index,2,1.4468224827836897,1.5377183608776455,1.629082710093422,1.467,True
2010-05-03,2010-05-04,USGG5YR Index,2,2.272384041149839,2.373445693061062,2.4769155995628074,2.3763,True
2010-05-03,2010-05-04,USGG7YR Index,2,2.933450641536622,3.051280614236238,3.165631550494471,3.0624,True
2010-05-03,2010-05-04,USGG10YR Index,2,3.6782589495918385,3.8114933201376404,3.940407162172306,3.5902,False
2010-05-03,2010-05-04,USGG30YR Index,2,4.403420914807463,4.522874658092917,4.63521257375739,4.4123,True
2010-05-04,2010-05-05,USGG2YR Index,2,0.904253166718196,0.9978510717071947,1.0939949345799136,0.8567,False
2010-05-04,2010-05-05,USGG3YR Index,2,1.3772520262787038,1.475674768892378,1.5775204390332582,1.3802,True
2010-05-04,2010-05-05,USGG5YR Index,2,2.192256445424825,2.3011599691008153,2.409178755578762,2.2898,True
2010-05-04,2010-05-05,USGG7YR Index,2,2.8424076461628522,2.9670863305290056,3.0866662450834768,2.9927,True
2010-05-04,2010-05-05,USGG10YR Index,2,3.576935131505624,3.716008329082835,3.845353759815969,3.5388,False
2010-05-04,2010-05-05,USGG30YR Index,2,4.287899102806945,4.409903513944618,4.5275152602827236,4.3847,True
2010-05-05,2010-05-06,USGG2YR Index,2,0.8134117011311586,0.9092948336707823,0.9990991611416447,0.7849,False
2010-05-05,2010-05-06,USGG3YR Index,2,1.291197319080317,1.3925362223073163,1.4885540298049003,1.2773,False
2010-05-05,2010-05-06,USGG5YR Index,2,2.1135529228257166,2.221653416438911,2.333374665531264,2.1541,True
2010-05-05,2010-05-06,USGG7YR Index,2,2.7729166337251083,2.893760575680342,3.019455054297139,2.8443,True
2010-05-05,2010-05-06,USGG10YR Index,2,3.5114317129684762,3.6513171187269355,3.7870605829000468,3.3938,False
2010-05-05,2010-05-06,USGG30YR Index,2,4.252233143024575,4.37864609662272,4.4954027423686505,4.2003,False
2010-05-06,2010-05-07,USGG2YR Index,3,0.5257903903590391,0.8189871220243297,1.10541621269559,0.808,True
2010-05-06,2010-05-07,USGG3YR Index,3,0.9999127917184794,1.2905715774633002,1.569833771975483,1.2922,True
2010-05-06,2010-05-07,USGG5YR Index,3,1.8178108057426516,2.0986801171210336,2.3725437655474195,2.1635,True
2010-05-06,2010-05-07,USGG7YR Index,3,2.4759547468422487,2.750393332531753,3.029557100807455,2.8661,True
2010-05-06,2010-05-07,USGG10YR Index,3,3.2130849027160058,3.4854178131595015,3.7590171977766222,3.4255,True
2010-05-06,2010-05-07,USGG30YR Index,3,3.9553696452830396,4.191861071716531,4.430305693513335,4.2749,True
2010-05-07,2010-05-10,USGG2YR Index,3,0.5529392362788186,0.8404512183715989,1.1096656979491362,0.8637,True
2010-05-07,2010-05-10,USGG3YR Index,3,1.0289365339780123,1.3092141888079398,1.5726010589657764,1.3676,True
2010-05-07,2010-05-10,USGG5YR Index,3,1.8336764634666964,2.1198281398842953,2.377687929712293,2.2627,True
2010-05-07,2010-05-10,USGG7YR Index,3,2.5052633317642887,2.7757070190164317,3.028368452433437,2.9775,True
2010-05-07,2010-05-10,USGG10YR Index,3,3.243330185184246,3.5159554047811845,3.7726133506706607,3.5406,True
2010-05-07,2010-05-10,USGG30YR Index,3,4.0214937102066015,4.273230825141361,4.495184703874052,4.4104,True
2010-05-10,2010-05-11,USGG2YR Index,2,0.8162110082373266,0.9069813041547748,0.9956124417835027,0.8315,True
2010-05-10,2010-05-11,USGG3YR Index,2,1.2941642172658134,1.387864242121406,1.4788514009462213,1.3293,True
2010-05-10,2010-05-11,USGG5YR Index,2,2.11044869200429,2.2149689147185807,2.317268120649594,2.2327,True
2010-05-10,2010-05-11,USGG7YR Index,2,2.771312395917679,2.8858371719231233,3.000337748572896,2.9476,True
2010-05-10,2010-05-11,USGG10YR Index,2,3.5134972092165198,3.6413040002909476,3.7732123852562958,3.5235,True
2010-05-10,2010-05-11,USGG30YR Index,2,4.2776280919919945,4.407219279036749,4.524051851453004,4.4197,True
2010-05-11,2010-05-12,USGG2YR Index,2,0.7732251624310014,0.8656380709075595,0.9636048401717703,0.8633,True
2010-05-11,2010-05-12,USGG3YR Index,2,1.2530669777217442,1.3486993550687556,1.4487545045466,1.4017,True
2010-05-11,2010-05-12,USGG5YR Index,2,2.0724133695739226,2.181003971985943,2.2913483983041942,2.279,True
2010-05-11,2010-05-12,USGG7YR Index,2,2.7386891476846715,2.85545638284298,2.983070240198158,3.0022,False
2010-05-11,2010-05-12,USGG10YR Index,2,3.4856214520564475,3.6161365928751947,3.7589013717506337,3.571,True
2010-05-11,2010-05-12,USGG30YR Index,2,4.296232571918064,4.410168130981605,4.5411127065261425,4.4803,True
2010-05-12,2010-05-13,USGG2YR Index,2,0.822286538990317,0.9211896758954761,1.0066712697060782,0.823,True
2010-05-12,2010-05-13,USGG3YR Index,2,1.3063496242205006,1.4042575079305573,1.4957592926513472,1.359,True
2010-05-12,2010-05-13,USGG5YR Index,2,2.12746263188192,2.237012851861232,2.3402738850024005,2.2423,True
2010-05-12,2010-05-13,USGG7YR Index,2,2.7878302003112614,2.912361918779644,3.0292288780192016,2.9499,True
2010-05-12,2010-05-13,USGG10YR Index,2,3.5430730260684835,3.677379158625329,3.809468529084981,3.5261,False
2010-05-12,2010-05-13,USGG30YR Index,2,4.354385510730357,4.476275870756917,4.604107332324414,4.4271,True
2010-05-13,2010-05-14,USGG2YR Index,2,0.7835706858907139,0.8743505462830043,0.9686563275717595,0.782,False
2010-05-13,2010-05-14,USGG3YR Index,2,1.2628695962508782,1.3559244153298167,1.4539287699721526,1.2896,True
2010-05-13,2010-05-14,USGG5YR Index,2,2.083233980008708,2.189891630755979,2.2958799407744,2.1556,True
2010-05-13,2010-05-14,USGG7YR Index,2,2.745192199573448,2.8645594046118354,2.9814568193909676,2.8704,True
2010-05-13,2010-05-14,USGG10YR Index,2,3.4959930630015164,3.625138917888618,3.759460554102342,3.4534,False
2010-05-13,2010-05-14,USGG30YR Index,2,4.305294681474612,4.419777236075271,4.5416302301857465,4.3357,True
2010-05-14,2010-05-17,USGG2YR Index,2,0.7261192953865843,0.8214115749542426,0.9108698791681852,0.7978,True
2010-05-14,2010-05-17,USGG3YR Index,2,1.1984808788100714,1.2984366747968499,1.3935968779773003,1.3055,True
2010-05-14,2010-05-17,USGG5YR Index,2,2.01021696965492,2.120939545797274,2.2306890063568745,2.1985,True
2010-05-14,2010-05-17,USGG7YR Index,2,2.665997201529941,2.7893711041560305,2.9090590413535984,2.905,True
2010-05-14,2010-05-17,USGG10YR Index,2,3.409259460194904,3.5424040056296313,3.681777067512925,3.4869,True
2010-05-14,2010-05-17,USGG30YR Index,2,4.212049623646,4.328684834357325,4.454327112912155,4.359,True
2010-05-17,2010-05-18,USGG2YR Index,2,0.7385787549372567,0.8370034444420762,0.9295059377304128,0.7249,False
2010-05-17,2010-05-18,USGG3YR Index,2,1.215710259327214,1.317215932977507,1.4109321907596881,1.2042,False
2010-05-17,2010-05-18,USGG5YR Index,2,2.0334269200773525,2.1457984346772285,2.2488867109824495,2.0626,True
2010-05-17,2010-05-18,USGG7YR Index,2,2.693236714991686,2.8199302828713035,2.933522330943032,2.779,True
2010-05-17,2010-05-18,USGG10YR Index,2,3.437720101017543,3.575907672990044,3.703726586976001,3.3462,False
2010-05-17,2010-05-18,USGG30YR Index,2,4.232353938248486,4.35256556889896,4.463743038498126,4.2289,False
2010-05-18,2010-05-19,USGG2YR Index,2,0.664789435538367,0.7532246532443481,0.8483857315245275,0.773,True
2010-05-18,2010-05-19,USGG3YR Index,2,1.1300376167356563,1.2215142722853716,1.320511100175588,1.2573,True
2010-05-18,2010-05-19,USGG5YR Index,2,1.9299238862037362,2.0334957976692207,2.141271727131607,2.1219,True
2010-05-18,2010-05-19,USGG7YR Index,2,2.5732299733996946,2.6916716520996817,2.8081859804316767,2.8133,False
2010-05-18,2010-05-19,USGG10YR Index,2,3.3020786147794676,3.432917324554486,3.566647286580956,3.3682,True
2010-05-18,2010-05-19,USGG30YR Index,2,4.107169825934486,4.222585104296127,4.34455505331073,4.2435,True
2010-05-19,2010-05-20,USGG2YR Index,2,0.7123156499119724,0.8065478888322184,0.8987461863376094,0.7079,False
2010-05-19,2010-05-20,USGG3YR Index,2,1.1710640490735575,1.270099515613322,1.3695342065554077,1.1559,False
2010-05-19,2010-05-20,USGG5YR Index,2,1.9666240527474996,2.0712786805179895,2.1805502987857994,1.9831,True
2010-05-19,2010-05-20,USGG7YR Index,2,2.6061573959075783,2.7204347383384127,2.843333478300104,2.6538,True
2010-05-19,2010-05-20,USGG10YR Index,2,3.3238386920837906,3.4545521297826225,3.5926990453499315,3.2126,False
2010-05-19,2010-05-20,USGG30YR Index,2,4.1153727297838145,4.231119479108602,4.349939867405472,4.0878,False
2010-05-20,2010-05-21,USGG2YR Index,2,0.6327086111320532,0.727974281328595,0.8307104964673165,0.7636,True
