date,next_date,tenor,regime,forecast_p10,forecast_p50,forecast_p90,realized,rmse,mae,crps,pit,in_band
2021-10-22,2021-10-25,USGG2YR Index,2,0.7068848488489968,0.7440275010538302,0.7776183475335606,0.4353,0.30795756294438636,0.30795756294438636,0.2951854668786328,0.0,False
2021-10-22,2021-10-25,USGG3YR Index,2,0.8703303275923103,0.906411574863978,0.9392802651047031,0.7449,0.16076424447561866,0.16076424447561866,0.14938555946253265,0.0,False
2021-10-22,2021-10-25,USGG5YR Index,2,1.1627886379380195,1.196660543906225,1.2274458235404047,1.1711,0.024857710467232508,0.024857710467232508,0.0147349517553473,0.11,True
2021-10-22,2021-10-25,USGG7YR Index,2,1.4136689729239276,1.4455534675495811,1.474801689388077,1.4593,0.01425228566398995,0.01425228566398995,0.008873403287100734,0.771,True
2021-10-22,2021-10-25,USGG10YR Index,2,1.7238411775833462,1.7530581288349452,1.7803708962753162,1.6307,0.12187590759495226,0.12187590759495226,0.11216053757511363,0.0,False
2021-10-22,2021-10-25,USGG30YR Index,2,2.5758085772790027,2.5936476553866434,2.611644958706963,2.0812,0.5125678612781548,0.5125678612781548,0.5068506619125652,0.0,False
2021-10-25,2021-10-26,USGG2YR Index,2,0.7023558024656158,0.7415937844659046,0.7772821048293299,0.4396,0.30134362237492696,0.30134362237492696,0.28953639459856256,0.0,False
2021-10-25,2021-10-26,USGG3YR Index,2,0.8659618860471973,0.9042807249552958,0.9387942973206804,0.7557,0.14774619389659593,0.14774619389659593,0.13470339308974696,0.0,False
2021-10-25,2021-10-26,USGG5YR Index,2,1.1587173808105151,1.1948776906930707,1.2273148498283146,1.1745,0.019434062927880857,0.019434062927880857,0.013150780061831527,0.165,True
2021-10-25,2021-10-26,USGG7YR Index,2,1.4099329470370996,1.443915980261811,1.4747857221979492,1.4498,0.0065795996633990494,0.0065795996633990494,0.005245831641303088,0.622,True
2021-10-25,2021-10-26,USGG10YR Index,2,1.7206321228095185,1.7518865574405402,1.7800269484063331,1.6079,0.14314328675962318,0.14314328675962318,0.13344163431476866,0.0,False
2021-10-25,2021-10-26,USGG30YR Index,2,2.575301621886134,2.5940449388206317,2.6113059014138726,2.0407,0.5533023937631549,0.5533023937631549,0.5465801298809745,0.0,False
2021-10-26,2021-10-27,USGG2YR Index,2,0.6995007846203304,0.7352323927668034,0.7724784182973917,0.5029,0.2327848281245125,0.2327848281245125,0.220146800671479,0.0,False
2021-10-26,2021-10-27,USGG3YR Index,2,0.8629950870939571,0.8977464287783126,0.9339622243196283,0.7719,0.12636890040180682,0.12636890040180682,0.11298338255395834,0.0,False
2021-10-26,2021-10-27,USGG5YR Index,2,1.1558339030449782,1.188378957428644,1.2226956147094892,1.15,0.03891735573658783,0.03891735573658783,0.02760251893932825,0.03,False
2021-10-26,2021-10-27,USGG7YR Index,2,1.4070082413400335,1.437821734621692,1.4701230863536525,1.4044,0.03396061869968792,0.03396061869968792,0.023075867047232412,0.036,False
2021-10-26,2021-10-27,USGG10YR Index,2,1.7178250446048082,1.745997567824627,1.7755004532776952,1.5413,0.20511113795748082,0.20511113795748082,0.19437950560103037,0.0,False
2021-10-26,2021-10-27,USGG30YR Index,2,2.573042788768403,2.5903225895967297,2.6083805087104275,1.9507,0.6399157079453175,0.6399157079453175,0.6339294310601633,0.0,False
2021-10-27,2021-10-28,USGG2YR Index,2,0.6880518859852838,0.725196707571118,0.7604258135926625,0.4891,0.23610211869924624,0.23610211869924624,0.2241630088106706,0.0,False
2021-10-27,2021-10-28,USGG3YR Index,2,0.8518063486848645,0.8879078744872793,0.9221926574594411,0.7613,0.12661650284956727,0.12661650284956727,0.11411920233099435,0.0,False
2021-10-27,2021-10-28,USGG5YR Index,2,1.1449717199664426,1.178755583923302,1.2113777604415543,1.1847,0.005870604577908223,0.005870604577908223,0.005696425143912932,0.604,True
2021-10-27,2021-10-28,USGG7YR Index,2,1.39682727808701,1.4284827162292415,1.4593976971606526,1.4524,0.0238599968611104,0.0238599968611104,0.016300156269054997,0.894,True
2021-10-27,2021-10-28,USGG10YR Index,2,1.7079365112229394,1.7368611911084373,1.765705774311513,1.58,0.15699222587514172,0.15699222587514172,0.14719591422214331,0.0,False
2021-10-27,2021-10-28,USGG30YR Index,2,2.566185051912311,2.583364513864296,2.6011095314821833,1.9811,0.6025120508927757,0.6025120508927757,0.5967718784867458,0.0,False
2021-10-28,2021-10-29,USGG2YR Index,2,0.6974161374577724,0.7347821475284286,0.7726687698791611,0.497,0.23784591871684657,0.23784591871684657,0.22351223417368954,0.0,False
2021-10-28,2021-10-29,USGG3YR Index,2,0.8608105353909316,0.8970088593094894,0.9336922459205991,0.7536,0.14356175236666968,0.14356175236666968,0.12979835310703045,0.0,False
2021-10-28,2021-10-29,USGG5YR Index,2,1.1530459239682387,1.1871239801913158,1.2214452226179682,1.1831,0.0042430775466424375,0.0042430775466424375,0.004458212399409555,0.416,True
2021-10-28,2021-10-29,USGG7YR Index,2,1.4038984491293085,1.4362112456878235,1.4685430872279759,1.4504,0.013998659439850458,0.013998659439850458,0.007313848862077886,0.771,True
2021-10-28,2021-10-29,USGG10YR Index,2,1.7144174298094403,1.7437108113602278,1.7737781847982896,1.5521,0.1919045725341153,0.1919045725341153,0.18152960072146215,0.0,False
2021-10-28,2021-10-29,USGG30YR Index,2,2.5692615493721527,2.5873623211500387,2.605376744303216,1.9328,0.6547008746286684,0.6547008746286684,0.6489051667440637,0.0,False
2021-10-29,2021-11-01,USGG2YR Index,2,0.6926389695187775,0.7284735200507118,0.7630591444421982,0.4992,0.22889635364975836,0.22889635364975836,0.21632405308706396,0.0,False
2021-10-29,2021-11-01,USGG3YR Index,2,0.8560591588060729,0.8908042242064795,0.924366178298221,0.7618,0.12858758371896784,0.12858758371896784,0.11776060973588476,0.0,False
